"country","years","rest_ha_yr","scenario"
"Mayotte",47,0,"P2"
"Mexico",47,0,"P2"
"Micronesia",47,0,"P2"
"Mozambique",47,0,"P2"
"Myanmar",47,0,"P2"
"New Caledonia",47,0,"P2"
"New Zealand",47,0,"P2"
"Nicaragua",47,0,"P2"
"Nigeria",47,0,"P2"
"Oman",47,0,"P2"
"Pakistan",47,0,"P2"
"Palau",47,0,"P2"
"Panama",47,0,"P2"
"Papua New Guinea",47,0,"P2"
"Phillippines",47,0,"P2"
"Puerto Rico",47,0,"P2"
"Qatar",47,0,"P2"
"Saint-Martin",47,0,"P2"
"Saint Kitts and Nevis",47,0,"P2"
"Saint Lucia",47,0,"P2"
"Saint Vincent",47,0,"P2"
"Samoa",47,0,"P2"
"Sao Tome and Principe",47,0,"P2"
"Saudi Arabia",47,0,"P2"
"Senegal",47,0,"P2"
"Seychelles",47,0,"P2"
"Sierra Leone",47,0,"P2"
"Singapore",47,0,"P2"
"Solomon Islands",47,0,"P2"
"Somalia",47,0,"P2"
"South Africa",47,0,"P2"
"Sri Lanka",47,0,"P2"
"Sudan",47,0,"P2"
"Suriname",47,0,"P2"
"Taiwan",47,0,"P2"
"Tanzania",47,0,"P2"
"Thailand",47,0,"P2"
"Tonga",47,0,"P2"
"Trinidad and Tobago",47,0,"P2"
"Turks and Caicos Islands",47,0,"P2"
"United Arab Emirates",47,0,"P2"
"United States",47,0,"P2"
"Vanuatu",47,0,"P2"
"Venezuela",47,0,"P2"
"Vietnam",47,0,"P2"
"Virgin Islands",47,0,"P2"
"Yemen",47,0,"P2"
"American Samoa",47,0.000288840588702524,"R"
"Angola",47,35.5239828966107,"R"
"Anguilla",47,0.0236739457706936,"R"
"Antigua and Barbuda",47,0.434678006812923,"R"
"Aruba",47,0.383648060656537,"R"
"Australia",47,828.494276968443,"R"
"Bahamas",47,223.508160090721,"R"
"Bahrain",47,0.0824802292131625,"R"
"Bangladesh",47,348.41842292614,"R"
"Barbados",47,0.000638013692421527,"R"
"Belize",47,143.445817417695,"R"
"Benin",47,0.621709898082285,"R"
"Bonaire",47,0.842963713656747,"R"
"Brazil",47,1198.0214524244,"R"
"British Virgin Islands",47,0.0105151963847485,"R"
"Brunei",47,8.64565623997891,"R"
"Cambodia",47,113.998968524623,"R"
"Cameroon",47,69.6886967478184,"R"
"Cayman Islands",47,3.61392287320823,"R"
"China",47,30.4050338332647,"R"
"Colombia",47,481.674855054896,"R"
"Comoros",47,0.00551659134035002,"R"
"Costa Rica",47,32.6983602004425,"R"
"Cuba",47,423.879799120932,"R"
"Curaco",47,0.328634545874376,"R"
"Democratic Republic of the Congo",47,23.2757670209956,"R"
"Djibouti",47,0.252698166180306,"R"
"Dominica",47,0.00110576791290409,"R"
"Dominican Republic",47,20.2792686789052,"R"
"East Timor",47,0.827547283045976,"R"
"Ecuador",47,225.247598607617,"R"
"Egypt",47,0.198292449369861,"R"
"El Salvador",47,43.4866544975811,"R"
"Equatorial Guinea",47,12.4432111658328,"R"
"Eritrea",47,5.61964080772425,"R"
"Fiji",47,15.571633394139,"R"
"French Guiana",47,106.311194483515,"R"
"Gabon",47,80.0055229437455,"R"
"Gambia",47,32.3641951867324,"R"
"Ghana",47,48.2726998122965,"R"
"Grenada",47,0.0534986131641374,"R"
"Guadeloupe",47,0.397191267143337,"R"
"Guatemala",47,35.7299249786944,"R"
"Guinea",47,120.261110866284,"R"
"Guinea-Bissau",47,110.14912884427,"R"
"Guyana",47,61.5475126527686,"R"
"Haiti",47,34.3378111588867,"R"
"Honduras",47,194.730746570549,"R"
"India",47,426.870518066415,"R"
"Indonesia",47,4267.22632067539,"R"
"Iran",47,5.58342055809722,"R"
"Ivory Coast",47,10.8285139426119,"R"
"Jamaica",47,14.7741768348208,"R"
"Japan",47,0.572156432291155,"R"
"Kenya",47,77.1772480235001,"R"
"Liberia",47,11.8298869749048,"R"
"Madagascar",47,239.296052802786,"R"
"Malaysia",47,455.8904173644,"R"
"Martinique",47,0.0884124655067393,"R"
"Mauritius",47,0.617930450100797,"R"
"Mayotte",47,0.0797474497939007,"R"
"Mexico",47,2902.42760464514,"R"
"Micronesia",47,0.586271071375007,"R"
"Mozambique",47,539.271990001451,"R"
"Myanmar",47,1129.15448485914,"R"
